id,prod_id,model,total
2878,762,Nike,373
2879,762,Air,140
2880,762,Max,55
2881,762,Goadome,1
2882,763,adidas,126
2883,763,Yeezy,92
2884,763,350,32
2885,763,V2,32
2886,763,CMPCT,1
2887,764,Jordan,383
2888,764,1,310
2889,764,Low,278
2890,764,FlyEase,2
2891,765,adidas,126
2892,765,Yeezy,92
2893,765,Slide,16
2894,766,Nike,373
2895,766,Air,140
2896,766,Force,43
2897,766,1,310
2898,766,Low,278
2899,766,SP,22
2900,767,Nike,373
2901,767,LD,5
2902,767,Waffle,6
2903,768,Nike,373
2904,768,Air,140
2905,768,VaporMax,11
2906,768,2020,3
2907,768,Flyknit,6
2908,769,Nike,373
2909,769,Dunk,178
2910,769,Low,278
2911,769,SE,41
2912,770,Nike,373
2913,770,Dunk,178
2914,770,High,115
2915,770,1985,1
2916,770,SP,22
2917,771,Jordan,383
2918,771,1,310
2919,771,Low,278
2920,772,New,57
2921,772,Balance,57
2922,772,530,4
2923,773,Converse,9
2924,773,DRKSHDW,1
2925,773,DRKSTAR,1
2926,773,Hi,7
2927,774,adidas,126
2928,774,Yeezy,92
2929,774,450,6
2930,775,adidas,126
2931,775,Forum,10
2932,775,Low,278
2933,776,Jordan,383
2934,776,6,20
2935,776,Retro,224
2936,777,adidas,126
2937,777,Yeezy,92
2938,777,Boost,48
2939,777,350,32
2940,777,V2,32
2941,778,Nike,373
2942,778,LeBron,3
2943,778,9,6
2944,778,Low,278
2945,779,Jordan,383
2946,779,1,310
2947,779,Retro,224
2948,779,High,115
2949,779,OG,39
2950,780,adidas,126
2951,780,Yeezy,92
2952,780,700,14
2953,780,V3,8
2954,781,Jordan,383
2955,781,1,310
2956,781,Low,278
2957,782,adidas,126
2958,782,Adilette,5
2959,782,22,5
2960,782,Slides,5
2961,783,adidas,126
2962,783,Yeezy,92
2963,783,Desert,1
2964,783,Boot,1
2965,784,Jordan,383
2966,784,1,310
2967,784,Mid,113
2968,785,adidas,126
2969,785,Yeezy,92
2970,785,450,6
2971,786,adidas,126
2972,786,NMD,3
2973,786,R1,2
2974,786,Primeblue,2
2975,787,Jordan,383
2976,787,6,20
2977,787,Retro,224
2978,788,adidas,126
2979,788,Campus,1
2980,788,80s,1
2981,789,Nike,373
2982,789,Dunk,178
2983,789,Low,278
2984,790,Jordan,383
2985,790,1,310
2986,790,Mid,113
2987,790,SE,41
2988,791,Nike,373
2989,791,Air,140
2990,791,Max,55
2991,791,90,9
2992,792,adidas,126
2993,792,Ultra,8
2994,792,Boost,48
2995,792,5.0,3
2996,792,DNA,6
2997,793,Nike,373
2998,793,Dunk,178
2999,793,Low,278
3000,793,SE,41
3001,794,Jordan,383
3002,794,1,310
3003,794,Low,278
3004,794,OG,39
3005,795,Nike,373
3006,795,Dunk,178
3007,795,Low,278
3008,796,adidas,126
3009,796,Adilette,5
3010,796,22,5
3011,796,Slides,5
3012,797,Nike,373
3013,797,Dunk,178
3014,797,Low,278
3015,797,SE,41
3016,798,Nike,373
3017,798,Air,140
3018,798,Max,55
3019,798,Terrascape,6
3020,798,Plus,8
3021,799,Jordan,383
3022,799,3,19
3023,799,Retro,224
3024,800,Jordan,383
3025,800,11,17
3026,800,Retro,224
3027,801,Jordan,383
3028,801,6,20
3029,801,Retro,224
3030,802,Nike,373
3031,802,SB,23
3032,802,Dunk,178
3033,802,Low,278
3034,803,adidas,126
3035,803,Yeezy,92
3036,803,700,14
3037,803,V3,8
3038,804,Nike,373
3039,804,Air,140
3040,804,Force,43
3041,804,1,310
3042,804,Low,278
3043,804,React,5
3044,804,Split,2
3045,805,Nike,373
3046,805,Dunk,178
3047,805,Low,278
3048,805,Disrupt,6
3049,805,2,18
3050,806,Jordan,383
3051,806,1,310
3052,806,Low,278
3053,807,Jordan,383
3054,807,1,310
3055,807,Retro,224
3056,807,High,115
3057,808,Nike,373
3058,808,Air,140
3059,808,Force,43
3060,808,1,310
3061,808,Low,278
3062,809,Jordan,383
3063,809,4,31
3064,809,Retro,224
3065,810,adidas,126
3066,810,Yeezy,92
3067,810,Boost,48
3068,810,380,3
3069,811,Nike,373
3070,811,Air,140
3071,811,Trainer,5
3072,811,SC,1
3073,811,High,115
3074,812,Nike,373
3075,812,Air,140
3076,812,Presto,2
3077,813,Jordan,383
3078,813,1,310
3079,813,Low,278
3080,813,OG,39
3081,813,EX,1
3082,814,Jordan,383
3083,814,1,310
3084,814,Retro,224
3085,814,High,115
3086,814,OG,39
3087,815,Jordan,383
3088,815,1,310
3089,815,Retro,224
3090,815,High,115
3091,816,Jordan,383
3092,816,1,310
3093,816,Mid,113
3094,816,SE,41
3095,817,Jordan,383
3096,817,1,310
3097,817,Mid,113
3098,818,Nike,373
3099,818,Dunk,178
3100,818,Low,278
3101,819,Jordan,383
3102,819,1,310
3103,819,High,115
3104,819,Zoom,11
3105,819,Air,140
3106,819,CMFT,7
3107,820,Nike,373
3108,820,Air,140
3109,820,Zoom,11
3110,820,G.T.,2
3111,820,Cut,2
3112,821,Nike,373
3113,821,Dunk,178
3114,821,Low,278
3115,822,Jordan,383
3116,822,1,310
3117,822,Mid,113
3118,823,Jordan,383
3119,823,1,310
3120,823,Mid,113
3121,824,Jordan,383
3122,824,1,310
3123,824,Retro,224
3124,824,High,115
3125,825,Nike,373
3126,825,Blazer,21
3127,825,Mid,113
3128,825,77,12
3129,825,Jumbo,1
3130,826,Nike,373
3131,826,Cortez,6
3132,827,New,57
3133,827,Balance,57
3134,827,1906R,2
3135,828,Jordan,383
3136,828,1,310
3137,828,Retro,224
3138,828,High,115
3139,829,adidas,126
3140,829,Yeezy,92
3141,829,Boost,48
3142,829,350,32
3143,829,V2,32
3144,830,Jordan,383
3145,830,6,20
3146,830,Retro,224
3147,831,Nike,373
3148,831,P-6000,1
3149,832,Jordan,383
3150,832,1,310
3151,832,High,115
3152,832,Element,5
3153,833,Jordan,383
3154,833,1,310
3155,833,Mid,113
3156,834,adidas,126
3157,834,Forum,10
3158,834,84,6
3159,834,Low,278
3160,835,Nike,373
3161,835,Dunk,178
3162,835,High,115
3163,836,New,57
3164,836,Balance,57
3165,836,1500,1
3166,836,MiUK,1
3167,837,Jordan,383
3168,837,11,17
3169,837,Retro,224
3170,838,adidas,126
3171,838,Yeezy,92
3172,838,500,6
3173,839,Jordan,383
3174,839,1,310
3175,839,Retro,224
3176,839,High,115
3177,840,Jordan,383
3178,840,1,310
3179,840,Low,278
3180,841,Jordan,383
3181,841,6,20
3182,841,Retro,224
3183,842,Nike,373
3184,842,Air,140
3185,842,Force,43
3186,842,1,310
3187,842,Low,278
3188,842,'07,17
3189,843,adidas,126
3190,843,Ultra,8
3191,843,Boost,48
3192,843,1.0,1
3193,844,Jordan,383
3194,844,Luka,1
3195,844,1,310
3196,845,Jordan,383
3197,845,1,310
3198,845,Retro,224
3199,845,High,115
3200,845,OG,39
3201,846,Nike,373
3202,846,Air,140
3203,846,Max,55
3204,846,1,310
3205,847,adidas,126
3206,847,Yeezy,92
3207,847,Boost,48
3208,847,350,32
3209,847,V2,32
3210,848,Nike,373
3211,848,Air,140
3212,848,VaporMax,11
3213,848,2020,3
3214,848,Flyknit,6
3215,849,Converse,9
3216,849,Chuck,6
3217,849,Taylor,6
3218,849,All-Star,6
3219,849,70,5
3220,849,Ox,2
3221,850,Nike,373
3222,850,Squash-Type,1
3223,851,Nike,373
3224,851,Air,140
3225,851,Adjust,1
3226,851,Force,43
3227,852,Nike,373
3228,852,LD,5
3229,852,Waffle,6
3230,852,SF,2
3231,853,Nike,373
3232,853,Dunk,178
3233,853,Low,278
3234,854,Jordan,383
3235,854,1,310
3236,854,Mid,113
3237,855,Nike,373
3238,855,React,5
3239,855,Element,5
3240,855,55,1
3241,856,Nike,373
3242,856,Dunk,178
3243,856,High,115
3244,857,Jordan,383
3245,857,ADG,1
3246,857,3,19
3247,857,Golf,10
3248,858,New,57
3249,858,Balance,57
3250,858,550,26
3251,859,New,57
3252,859,Balance,57
3253,859,9060,2
3254,860,adidas,126
3255,860,Yeezy,92
3256,860,Boost,48
3257,860,700,14
3258,860,MNVN,3
3259,861,Nike,373
3260,861,SB,23
3261,861,Dunk,178
3262,861,Low,278
3263,862,New,57
3264,862,Balance,57
3265,862,550,26
3266,863,Jordan,383
3267,863,5,22
3268,863,Retro,224
3269,864,Jordan,383
3270,864,1,310
3271,864,Retro,224
3272,864,High,115
3273,865,Nike,373
3274,865,Air,140
3275,865,Force,43
3276,865,1,310
3277,865,Low,278
3278,865,'07,17
3279,865,LV8,3
3280,866,Jordan,383
3281,866,6,20
3282,866,Retro,224
3283,867,Puma,9
3284,867,LaMelo,9
3285,867,Ball,9
3286,867,MB.01,9
3287,868,Nike,373
3288,868,Air,140
3289,868,Monarch,1
3290,868,IV,1
3291,869,Nike,373
3292,869,Blazer,21
3293,869,Low,278
3294,869,77,12
3295,870,Jordan,383
3296,870,1,310
3297,870,Low,278
3298,871,Jordan,383
3299,871,13,10
3300,871,Retro,224
3301,872,Jordan,383
3302,872,5,22
3303,872,Retro,224
3304,873,Nike,373
